,length_test,c1_test,c3_test,d1_test
0,36.0,0,5,3
1,18.0,0,0,0
2,17.5,0,0,0
3,12.0,0,0,0
4,10.0,0,1,0
5,9.0,0,0,0
6,20.0,0,0,2
7,3.0,0,0,0
8,12.0,1,0,0
9,18.0,0,1,0
10,23.0,0,1,0
11,27.0,1,7,1
12,14.0,0,1,0
13,2.0,0,0,0
14,4.0,0,0,0
15,10.0,1,0,0
16,25.0,0,2,0
17,13.0,0,3,1
18,25.0,0,4,0
19,23.0,0,0,1
20,11.0,0,1,0
21,21.5,1,0,1
22,18.5,1,1,0
23,20.0,0,1,0
24,28.5,0,1,0
25,23.0,0,2,0
26,18.0,0,0,0
27,16.0,1,2,0
28,17.0,0,12,0
29,11.5,0,1,0
30,25.5,0,1,0
31,9.0,0,1,0
32,18.0,0,2,0
33,32.0,0,3,1
34,15.5,0,1,0
35,13.5,0,2,0
36,18.0,3,0,2
37,13.0,2,1,0
38,7.0,4,0,2
39,25.5,0,1,0
40,12.0,0,0,0
41,18.0,1,1,0
42,17.0,0,0,1
43,12.0,1,0,0
44,19.5,1,0,0
45,18.0,0,0,0
46,20.0,0,0,0
47,20.0,0,0,0
48,13.0,0,2,0
49,7.0,0,0,0
