,length_train,c1_train,c3_train,d1_train
0,14.0,0,1,0
1,10.0,1,0,0
2,17.0,1,0,0
3,11.0,1,2,2
4,6.0,0,0,0
5,16.0,0,0,0
6,13.0,0,1,0
7,6.0,0,0,0
8,12.0,0,1,0
9,17.0,0,0,0
10,11.0,0,0,0
11,15.0,0,0,1
12,4.5,0,3,0
13,8.5,1,1,0
14,20.0,0,0,0
15,13.0,0,0,0
16,20.0,1,2,0
17,8.0,0,0,1
18,23.0,0,0,0
19,23.5,0,0,0
20,10.0,0,0,0
21,24.5,0,0,0
22,16.0,1,0,0
23,17.0,1,0,0
24,16.0,1,0,0
25,3.0,0,0,0
26,20.0,3,0,0
27,6.5,0,4,2
28,16.5,1,4,2
29,21.0,0,4,1
30,13.0,0,0,0
31,17.0,1,0,0
32,18.5,0,0,0
33,6.0,0,3,0
34,10.0,1,0,0
35,5.0,0,0,0
36,8.0,0,1,0
37,17.0,1,4,0
38,19.0,0,0,0
39,22.5,0,0,1
40,13.0,0,6,0
41,19.0,1,0,0
42,16.0,0,0,1
43,4.0,0,0,0
44,20.5,0,1,0
45,26.0,0,0,0
46,17.0,1,0,0
47,5.0,0,0,1
48,21.0,1,0,1
49,21.5,2,3,2
50,1.0,0,0,0
51,13.0,0,0,0
52,16.5,0,3,0
53,17.0,0,1,0
54,10.0,0,0,0
55,18.5,1,0,0
56,21.5,2,0,1
57,21.0,1,0,0
58,21.5,0,5,0
59,12.0,0,0,0
60,10.5,0,4,0
61,18.0,0,0,0
62,23.0,0,2,0
63,8.5,0,5,0
64,37.5,0,2,0
65,9.0,0,4,1
66,24.5,1,2,1
67,10.5,0,3,0
68,15.0,1,0,0
69,8.0,0,1,0
70,12.0,2,2,0
71,6.0,0,0,0
72,19.0,0,0,0
73,20.0,1,1,1
74,8.0,0,0,0
75,7.0,1,0,0
76,6.0,0,0,0
77,20.0,0,0,0
78,21.5,0,2,0
79,22.0,1,1,0
80,16.0,1,2,0
81,14.0,0,0,0
82,9.0,2,1,0
83,15.5,0,0,0
84,14.5,0,1,0
85,22.0,0,2,0
86,20.0,0,0,1
87,25.0,1,1,0
88,17.0,0,0,0
89,9.0,1,1,0
90,5.0,0,0,0
91,20.5,0,0,0
92,23.0,0,1,0
93,22.0,0,3,0
94,17.0,0,2,0
95,18.0,0,1,1
96,11.5,1,0,0
97,17.0,0,1,0
98,18.0,0,1,0
99,25.0,0,1,0
